流水號,擷取日期,發布日期,分類,優先級,地區,來源名稱,原文標題,中文標題,繁中摘要,原文摘要,原文網址,圖片網址,引用格式,資料狀態
"2026-08-27-001","2026-08-27","Wed, 26 Aug 2026 15:12:04 +0000","技術元件","normal","全球","Electrek e-bikes","Bafang’s new electric bike motors produce 8x your own pedaling power","","","Bafang has never exactly been known for building timid e-bike motors, but its latest pair of high-performance e-MTB drives takes things to a whole new level. We’re talking up to 1,700 watts of peak power, 150 Nm of torque, and 800% pedal assistance. At that point, “pedal assist” is starting to do some pretty heavy lifting as a phrase.","https://electrek.co/2026/08/26/bafangs-new-electric-bike-motors-produce-8x-your-own-pedaling-power/","https://electrek.co/wp-content/uploads/sites/3/2026/08/bafang-motors-head-1.jpg?quality=82&strip=all&w=1600","Electrek e-bikes｜Wed, 26 Aug 2026 15:12:04 +0000｜Bafang’s new electric bike motors produce 8x your own pedaling power｜https://electrek.co/2026/08/26/bafangs-new-electric-bike-motors-produce-8x-your-own-pedaling-power/｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-002","2026-08-27","Mon, 24 Aug 2026 16:55:57 GMT","品牌新品","normal","全球","Ratopati","Yatri P-2 Electric Scooter Launched in Nepal - Ratopati","","","Yatri P-2 Electric Scooter Launched in Nepal &nbsp;&nbsp; Ratopati","https://news.google.com/rss/articles/CBMisgFBVV95cUxNSkM3SHpXanpCWlVrY3lIbFpyUy15WUZjUTRlaFl3M0R2dGY5SVEzdGt2bVcxT3dJdWw1TDJPR3otMV9UdzFDd2FlbklCOXNMMHpLcGM4VzVfcUh2bHZOdnYwREVkbThlOXR2ZzBhRFJhVk56Y2RfeU9XTTBRTHUydzQzMDViR3dSM1hvLTRyeS0yUTNBb3F1WVRaNWMxam54UW01RFpPZjJJR1FhWGh0MlpR?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Ratopati｜Mon, 24 Aug 2026 16:55:57 GMT｜Yatri P-2 Electric Scooter Launched in Nepal - Ratopati｜https://news.google.com/rss/articles/CBMisgFBVV95cUxNSkM3SHpXanpCWlVrY3lIbFpyUy15WUZjUTRlaFl3M0R2dGY5SVEzdGt2bVcxT3dJdWw1TDJPR3otMV9UdzFDd2FlbklCOXNMMHpLcGM4VzVfcUh2bHZOdnYwREVkbThlOXR2ZzBhRFJhVk56Y2RfeU9XTTBRTHUydzQzMDViR3dSM1hvLTRyeS0yUTNBb3F1WVRaNWMxam54UW01RFpPZjJJR1FhWGh0MlpR?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-003","2026-08-27","Thu, 27 Aug 2026 00:44:17 GMT","法規更新","high","全球","Tuscaloosa Thread","Kids and E-Bikes: Alabama’s Rules Are Stricter Than Many States - Tuscaloosa Thread","","","Kids and E-Bikes: Alabama’s Rules Are Stricter Than Many States &nbsp;&nbsp; Tuscaloosa Thread","https://news.google.com/rss/articles/CBMimAFBVV95cUxOOG1ObGtCSG5vMlh6M1Q4WkkxNG1mNEVNQVhGZ1p5YThRdkFoZ21xWmY2STVEUS1xcGRVeUpOdkVfNlB2bE5MUmdiQkhBc3RUNmhDNUI1cTdfRHdTU1VtbnlPcGRnalJsalZTRUZhOG83SXhUQTdSSmEtTmhCSWdabnR0WGJCYTdTWk5HckkzT2tGSTZ2MEgxRg?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Tuscaloosa Thread｜Thu, 27 Aug 2026 00:44:17 GMT｜Kids and E-Bikes: Alabama’s Rules Are Stricter Than Many States - Tuscaloosa Thread｜https://news.google.com/rss/articles/CBMimAFBVV95cUxOOG1ObGtCSG5vMlh6M1Q4WkkxNG1mNEVNQVhGZ1p5YThRdkFoZ21xWmY2STVEUS1xcGRVeUpOdkVfNlB2bE5MUmdiQkhBc3RUNmhDNUI1cTdfRHdTU1VtbnlPcGRnalJsalZTRUZhOG83SXhUQTdSSmEtTmhCSWdabnR0WGJCYTdTWk5HckkzT2tGSTZ2MEgxRg?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-004","2026-08-27","Wed, 26 Aug 2026 23:00:00 GMT","法規更新","high","全球","wandtv.com","JB Pritzker signs Giannoulias e-bike regulations into IL law | Illinois Politics - wandtv.com","","","JB Pritzker signs Giannoulias e-bike regulations into IL law | Illinois Politics &nbsp;&nbsp; wandtv.com","https://news.google.com/rss/articles/CBMi2wFBVV95cUxPZUVrck81V1JZSkx0VDI2VnBQXy1aWXRQaVNEOS1Vc2FvMzVYOUxTNjh3bTZHSzBsd011aUlGQWFBeDhlOEg3V05SWWg1VUtpSDRXN0NkcEhNSjh6MjU0MDZOYU5mRHQtWm9WZWE0MldhajNrTVhWUExPdUQ5aXkwQUFNcHhmMVVRX3dJQ243VE5vOEZ4RS16WG9zOFBHanJFYk5mQ0tGSWV4YjI2dloyZ25HMU5vdWdpYzhGLXNxdWpuQXRNYVZmdkxZYTR5cWVjajBodkVKUWltREE?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","wandtv.com｜Wed, 26 Aug 2026 23:00:00 GMT｜JB Pritzker signs Giannoulias e-bike regulations into IL law | Illinois Politics - wandtv.com｜https://news.google.com/rss/articles/CBMi2wFBVV95cUxPZUVrck81V1JZSkx0VDI2VnBQXy1aWXRQaVNEOS1Vc2FvMzVYOUxTNjh3bTZHSzBsd011aUlGQWFBeDhlOEg3V05SWWg1VUtpSDRXN0NkcEhNSjh6MjU0MDZOYU5mRHQtWm9WZWE0MldhajNrTVhWUExPdUQ5aXkwQUFNcHhmMVVRX3dJQ243VE5vOEZ4RS16WG9zOFBHanJFYk5mQ0tGSWV4YjI2dloyZ25HMU5vdWdpYzhGLXNxdWpuQXRNYVZmdkxZYTR5cWVjajBodkVKUWltREE?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-005","2026-08-27","Wed, 26 Aug 2026 21:46:24 GMT","法規更新","high","全球","MyStateline","Illinois governor signs law setting new age and licensing rules for e-bike riders - MyStateline","","","Illinois governor signs law setting new age and licensing rules for e-bike riders &nbsp;&nbsp; MyStateline","https://news.google.com/rss/articles/CBMitgFBVV95cUxORm1uYnFVZjQ2SEJwSVdlc215aUJGUmotUHN5Zy0zUHJxOUNFUk81NUdKTmM0ems5cEdROXVnRHpvYjhEWjkyeFdOQTFVdU5rTWFMREJNTmVsQ3VXc3dlREtja3NBbEhLQndFSkhyV2syTUNtbkNUaWFoRjhhZnJseWtRZ2F4andDYjBuNmFCUjNTU0docGJscnhtNUxGU29xT2RTVzVIZnJwbmRkV29mbFYwYXNzd9IBuwFBVV95cUxQQXdhU0tMNmJ3WUZNSTRIX2t1ZVNKcThrUzNhWENyeXpndFVGX01GVTk4ZV9wMG9QalBSeTMxV2NfS1VZNll4WlBMclotM0pwSkpMa0JtbTNoWjVscmdtQkRIQ1lVOG85b1V0N3MwaVk0NDJ3RHA4OTV0S2t1bEd1YWxiLUpUYXpjUHM2cHhtNFBRZ25CVXZPQTdBWmlPdUlxNFprYVNaZDZGdGxueEZJSUhydDZTMFdMVS1B?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","MyStateline｜Wed, 26 Aug 2026 21:46:24 GMT｜Illinois governor signs law setting new age and licensing rules for e-bike riders - MyStateline｜https://news.google.com/rss/articles/CBMitgFBVV95cUxORm1uYnFVZjQ2SEJwSVdlc215aUJGUmotUHN5Zy0zUHJxOUNFUk81NUdKTmM0ems5cEdROXVnRHpvYjhEWjkyeFdOQTFVdU5rTWFMREJNTmVsQ3VXc3dlREtja3NBbEhLQndFSkhyV2syTUNtbkNUaWFoRjhhZnJseWtRZ2F4andDYjBuNmFCUjNTU0docGJscnhtNUxGU29xT2RTVzVIZnJwbmRkV29mbFYwYXNzd9IBuwFBVV95cUxQQXdhU0tMNmJ3WUZNSTRIX2t1ZVNKcThrUzNhWENyeXpndFVGX01GVTk4ZV9wMG9QalBSeTMxV2NfS1VZNll4WlBMclotM0pwSkpMa0JtbTNoWjVscmdtQkRIQ1lVOG85b1V0N3MwaVk0NDJ3RHA4OTV0S2t1bEd1YWxiLUpUYXpjUHM2cHhtNFBRZ25CVXZPQTdBWmlPdUlxNFprYVNaZDZGdGxueEZJSUhydDZTMFdMVS1B?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-006","2026-08-27","Wed, 26 Aug 2026 21:29:00 GMT","法規更新","high","全球","Chicago Sun-Times","Pritzker signs e-bike regulation bill into law - Chicago Sun-Times","","","Pritzker signs e-bike regulation bill into law &nbsp;&nbsp; Chicago Sun-Times","https://news.google.com/rss/articles/CBMilwFBVV95cUxOLWRIeUtoUzNjTmJZTUxvOW1KQ29OOWtVOWxNR2VRMm5vcVZVdlJUcjdMekpjeVpVRnRQS1ItelEwVFlqWFBwdU1GTUdzRTZ4ZDVTRlU1WnVneDVpWUN3MXpNaDJpYW5kcTN0QU80UnY4aVpjUlA0TzdSemdmU1BDZU1ySTVRSHJYaWF4QWZ2TkhaeTRkSS1N?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Chicago Sun-Times｜Wed, 26 Aug 2026 21:29:00 GMT｜Pritzker signs e-bike regulation bill into law - Chicago Sun-Times｜https://news.google.com/rss/articles/CBMilwFBVV95cUxOLWRIeUtoUzNjTmJZTUxvOW1KQ29OOWtVOWxNR2VRMm5vcVZVdlJUcjdMekpjeVpVRnRQS1ItelEwVFlqWFBwdU1GTUdzRTZ4ZDVTRlU1WnVneDVpWUN3MXpNaDJpYW5kcTN0QU80UnY4aVpjUlA0TzdSemdmU1BDZU1ySTVRSHJYaWF4QWZ2TkhaeTRkSS1N?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-007","2026-08-27","Wed, 26 Aug 2026 20:02:39 GMT","法規更新","high","全球","Capitol News Illinois","Putting on the brakes: New Illinois law establishes rules for e-bikes, scooters - Capitol News Illinois","","","Putting on the brakes: New Illinois law establishes rules for e-bikes, scooters &nbsp;&nbsp; Capitol News Illinois","https://news.google.com/rss/articles/CBMipAFBVV95cUxNTHIwejJKWExBYXhJVThSREZyOEYycm5PVVNpbzgzWHhGS3VvYnNLaUprUlhna2JlLTBYRS0xS3lnSmxvbDVXLXZobWphSHRDdUdIMHg4NGNpNDRveTlHeUx0WkVzNzdnRHdaUDhrdGtjODRTNzVKMGFwX3B3cXNmTW5jZWdHWGdmU3ViejdNZEZxLTA1YWd6LUNSUDdxSFA5RTZ3VA?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Capitol News Illinois｜Wed, 26 Aug 2026 20:02:39 GMT｜Putting on the brakes: New Illinois law establishes rules for e-bikes, scooters - Capitol News Illinois｜https://news.google.com/rss/articles/CBMipAFBVV95cUxNTHIwejJKWExBYXhJVThSREZyOEYycm5PVVNpbzgzWHhGS3VvYnNLaUprUlhna2JlLTBYRS0xS3lnSmxvbDVXLXZobWphSHRDdUdIMHg4NGNpNDRveTlHeUx0WkVzNzdnRHdaUDhrdGtjODRTNzVKMGFwX3B3cXNmTW5jZWdHWGdmU3ViejdNZEZxLTA1YWd6LUNSUDdxSFA5RTZ3VA?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-008","2026-08-27","Wed, 26 Aug 2026 18:58:57 GMT","法規更新","high","全球","Consumers Union","Consumer Reports Comments to CPSC on Battery Standard for Micromobility Products - Consumers Union","","","Consumer Reports Comments to CPSC on Battery Standard for Micromobility Products &nbsp;&nbsp; Consumers Union","https://news.google.com/rss/articles/CBMixgFBVV95cUxQRzd5QUYyUHZUd2lTSlR3MDBZeFEzNUtOMmlNWVA1Zm4xTkc4TUc2ZkdfMG85N3o3TWVJLTEzMVpqeXg2Q3JWb2FnYWlHeHd0Y0RyUlV5V3ZqSHpldldiVTZ1NDIwOGhEUXhZc3hUZENsMTFya3I0dVJZRlNsQXgzNFZibzVDdXZUWVJnc1FCQl9vdXAzM3dya1Vsbkp5SFpmam1kLVJheFVnNV9wcTh6UnZXMGlzWTZNcFdXa29ZRDJ4MXY1V0E?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Consumers Union｜Wed, 26 Aug 2026 18:58:57 GMT｜Consumer Reports Comments to CPSC on Battery Standard for Micromobility Products - Consumers Union｜https://news.google.com/rss/articles/CBMixgFBVV95cUxQRzd5QUYyUHZUd2lTSlR3MDBZeFEzNUtOMmlNWVA1Zm4xTkc4TUc2ZkdfMG85N3o3TWVJLTEzMVpqeXg2Q3JWb2FnYWlHeHd0Y0RyUlV5V3ZqSHpldldiVTZ1NDIwOGhEUXhZc3hUZENsMTFya3I0dVJZRlNsQXgzNFZibzVDdXZUWVJnc1FCQl9vdXAzM3dya1Vsbkp5SFpmam1kLVJheFVnNV9wcTh6UnZXMGlzWTZNcFdXa29ZRDJ4MXY1V0E?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-009","2026-08-27","Wed, 26 Aug 2026 18:34:26 GMT","法規更新","high","全球","Illinois Senate Democratic Caucus","Villivalam leads law regulating use of micromobility devices - Illinois Senate Democratic Caucus","","","Villivalam leads law regulating use of micromobility devices &nbsp;&nbsp; Illinois Senate Democratic Caucus","https://news.google.com/rss/articles/CBMi4gFBVV95cUxNcmV1QjlPUXd6bFNJUVoxeUNnUzVkLW8zS1JIVWNaNkFIVVd1TVlQb3VjcUFqNmlRM2d6SDRqZGJ5Rm1VbzFudC1uSFQ3a1FBajJoUUZRaEFlY1I4VlpONTROUU1fMTd0UXI0dWNqeEpPbFlFOWtGWlJ3aVRROHUxUWFuZElvTU9JeHNoQ0dUUGxocjFaUTZMam5WdnN1X2ozWWRxUlp1aF94UHh4ZVpaZDR5TkgyeEVrenllZG1YZjJRY2NFN0RPal9IbVF0d0ZYOUhQTW5CTmZfU2gzZDVnUkxB?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Illinois Senate Democratic Caucus｜Wed, 26 Aug 2026 18:34:26 GMT｜Villivalam leads law regulating use of micromobility devices - Illinois Senate Democratic Caucus｜https://news.google.com/rss/articles/CBMi4gFBVV95cUxNcmV1QjlPUXd6bFNJUVoxeUNnUzVkLW8zS1JIVWNaNkFIVVd1TVlQb3VjcUFqNmlRM2d6SDRqZGJ5Rm1VbzFudC1uSFQ3a1FBajJoUUZRaEFlY1I4VlpONTROUU1fMTd0UXI0dWNqeEpPbFlFOWtGWlJ3aVRROHUxUWFuZElvTU9JeHNoQ0dUUGxocjFaUTZMam5WdnN1X2ozWWRxUlp1aF94UHh4ZVpaZDR5TkgyeEVrenllZG1YZjJRY2NFN0RPal9IbVF0d0ZYOUhQTW5CTmZfU2gzZDVnUkxB?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-010","2026-08-27","Wed, 26 Aug 2026 11:36:31 GMT","法規更新","high","全球","LI Press","Sewanhaka school board adopts e-bike ban, immigration policy - LI Press","","","Sewanhaka school board adopts e-bike ban, immigration policy &nbsp;&nbsp; LI Press","https://news.google.com/rss/articles/CBMipgFBVV95cUxQWFk0cGktUE5iSk9Xa3BWSkVQQlozSnZXbGNTemZUeEx4WFlZUkRjUmdQVnN5WW1JMk9mdGtldXVCbUUtdzZBcVRlX18yR0k0ZS16OFlvbkNVUjFJWVkwTFNOUzU0M0p0c2w5ZEEtdUcxVkkwUVRrVnFZN3lybW5XVF9YclBQNFhQaGhLYmtFTWZnQ3VpNmI2Qmp3eExRMmFPUGd2Uk9R?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","LI Press｜Wed, 26 Aug 2026 11:36:31 GMT｜Sewanhaka school board adopts e-bike ban, immigration policy - LI Press｜https://news.google.com/rss/articles/CBMipgFBVV95cUxQWFk0cGktUE5iSk9Xa3BWSkVQQlozSnZXbGNTemZUeEx4WFlZUkRjUmdQVnN5WW1JMk9mdGtldXVCbUUtdzZBcVRlX18yR0k0ZS16OFlvbkNVUjFJWVkwTFNOUzU0M0p0c2w5ZEEtdUcxVkkwUVRrVnFZN3lybW5XVF9YclBQNFhQaGhLYmtFTWZnQ3VpNmI2Qmp3eExRMmFPUGd2Uk9R?oc=5｜擷取日 2026-08-27","公開來源每日更新"
"2026-08-27-011","2026-08-27","Thu, 20 Aug 2026 08:02:03 GMT","品牌新品","normal","全球","BikeAdvice","Upcoming Simple Electric Scooter Named as Wave, Launch on Sep 2 - BikeAdvice","","","Upcoming Simple Electric Scooter Named as Wave, Launch on Sep 2 &nbsp;&nbsp; BikeAdvice","https://news.google.com/rss/articles/CBMijgFBVV95cUxQcEtYNERkY2dTS1dOSWFyYlIwczAyT0pCNU1ZN2tnc2k2bHAzdy1NR0d4YXl1YjR0YVF3blpVcklQb2drQXZKR3BjVy1LY0pZV0MxY3lpOVdHVXRYSkhhdVZjRmFVNkk3Z2tiSW9oTTlqZW1WSGdrNG5BdGNBeUxUNUZTcG5OZXlxNWtLQmt3?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","BikeAdvice｜Thu, 20 Aug 2026 08:02:03 GMT｜Upcoming Simple Electric Scooter Named as Wave, Launch on Sep 2 - BikeAdvice｜https://news.google.com/rss/articles/CBMijgFBVV95cUxQcEtYNERkY2dTS1dOSWFyYlIwczAyT0pCNU1ZN2tnc2k2bHAzdy1NR0d4YXl1YjR0YVF3blpVcklQb2drQXZKR3BjVy1LY0pZV0MxY3lpOVdHVXRYSkhhdVZjRmFVNkk3Z2tiSW9oTTlqZW1WSGdrNG5BdGNBeUxUNUZTcG5OZXlxNWtLQmt3?oc=5｜擷取日 2026-08-27","公開來源每日更新"
