流水號,擷取日期,發布日期,分類,優先級,地區,來源名稱,原文標題,中文標題,繁中摘要,原文摘要,原文網址,圖片網址,引用格式,資料狀態
"2026-08-29-001","2026-08-29","Fri, 28 Aug 2026 08:02:47 GMT","技術元件","normal","全球","EMobility+","Ola Electric Launches S1Z Electric Scooter Range with Indigenous Bharat Cell LFP Technology - EMobility+","","","Ola Electric Launches S1Z Electric Scooter Range with Indigenous Bharat Cell LFP Technology &nbsp;&nbsp; EMobility+","https://news.google.com/rss/articles/CBMiyAFBVV95cUxQZ3lLeDFSZzVoR0dyajVXcjlTZkdOd1hkNmttN05FMTNudFBMZUxvQVJ4eVBCc3lLNlJkelA0eTIwbU5OcnRmbElOSkJzVnh6WU9IdFI4WUFDQ2ctMlEzSFJYZkk3M19UMmlGNDd4TFpSOXA2TXdKQ0poTVNaMVVKeTJvUjhiTmdFaENJTzhwc0pmRUZpX0o3UkhTNTVTZEw1Uk1xYXN0THQ2SVdER0tER3JIYjBqU21BeTZCMmdUV3JvNWF0cERNZtIBzgFBVV95cUxNM2R6cFp2REtkTm5JRW9vZFpucFNDU0dfYWc4LUY5eDY1LWJrRFR2R2RYeUhBcnFaSDlVNFJPZmllQjl6bUViRGJINDE3ZDltdG5TU05HcXRYNWVfSl9VWTFGLXhGamlQNmVLcElpRkQxUFlIUi16eTlMT1EwWnp3cUc5dUlyYkR6Y0dyaVVyM0FRUnZkQ2FKdDZSdlBEYlVPRWlYZEh1VXNHMDRPVmhJbmdmb05qVE1nX2FWOUlYWlM3T01Kenh0NGR2SjNCZw?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","EMobility+｜Fri, 28 Aug 2026 08:02:47 GMT｜Ola Electric Launches S1Z Electric Scooter Range with Indigenous Bharat Cell LFP Technology - EMobility+｜https://news.google.com/rss/articles/CBMiyAFBVV95cUxQZ3lLeDFSZzVoR0dyajVXcjlTZkdOd1hkNmttN05FMTNudFBMZUxvQVJ4eVBCc3lLNlJkelA0eTIwbU5OcnRmbElOSkJzVnh6WU9IdFI4WUFDQ2ctMlEzSFJYZkk3M19UMmlGNDd4TFpSOXA2TXdKQ0poTVNaMVVKeTJvUjhiTmdFaENJTzhwc0pmRUZpX0o3UkhTNTVTZEw1Uk1xYXN0THQ2SVdER0tER3JIYjBqU21BeTZCMmdUV3JvNWF0cERNZtIBzgFBVV95cUxNM2R6cFp2REtkTm5JRW9vZFpucFNDU0dfYWc4LUY5eDY1LWJrRFR2R2RYeUhBcnFaSDlVNFJPZmllQjl6bUViRGJINDE3ZDltdG5TU05HcXRYNWVfSl9VWTFGLXhGamlQNmVLcElpRkQxUFlIUi16eTlMT1EwWnp3cUc5dUlyYkR6Y0dyaVVyM0FRUnZkQ2FKdDZSdlBEYlVPRWlYZEh1VXNHMDRPVmhJbmdmb05qVE1nX2FWOUlYWlM3T01Kenh0NGR2SjNCZw?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-002","2026-08-29","Fri, 28 Aug 2026 18:00:00 GMT","品牌新品","normal","全球","Electrek","Jackery HomePower 1000 Plus V2 1,024Wh station launch, Heybike upgraded 1,000W Mars 2.0 e-bike exclusive $749 low, more - Electrek","","","Jackery HomePower 1000 Plus V2 1,024Wh station launch, Heybike upgraded 1,000W Mars 2.0 e-bike exclusive $749 low, more &nbsp;&nbsp; Electrek","https://news.google.com/rss/articles/CBMiugFBVV95cUxOcUJ0SzNiZkN2N3pmUUJDcE9HTnRKUGNwb3lvQnYzUU1Kdk40LWNYR2N3OTR4SDJDLXlYT3g5YUxDMFpsN1NlSGp3S2RWbmJNTU42MlBWZG5mZHJsZzk3TjN1a3VHODZZeUxkMFFIN1Y5TDZta1pRTzB4eE13VW1HV0xMZmdrZ3J3em1IX1VjX19DRmNMeWFwWTV6ak9TX1VWODBiQXdSelUtbk1YenNRQXpQTGNkbXcwMUE?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Electrek｜Fri, 28 Aug 2026 18:00:00 GMT｜Jackery HomePower 1000 Plus V2 1,024Wh station launch, Heybike upgraded 1,000W Mars 2.0 e-bike exclusive $749 low, more - Electrek｜https://news.google.com/rss/articles/CBMiugFBVV95cUxOcUJ0SzNiZkN2N3pmUUJDcE9HTnRKUGNwb3lvQnYzUU1Kdk40LWNYR2N3OTR4SDJDLXlYT3g5YUxDMFpsN1NlSGp3S2RWbmJNTU42MlBWZG5mZHJsZzk3TjN1a3VHODZZeUxkMFFIN1Y5TDZta1pRTzB4eE13VW1HV0xMZmdrZ3J3em1IX1VjX19DRmNMeWFwWTV6ak9TX1VWODBiQXdSelUtbk1YenNRQXpQTGNkbXcwMUE?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-003","2026-08-29","Fri, 28 Aug 2026 12:22:16 GMT","品牌新品","normal","全球","BikeWale","Ola S1Z Electric Scooter Launched Starting at Rs. 79,999 - BikeWale","","","Ola S1Z Electric Scooter Launched Starting at Rs. 79,999 &nbsp;&nbsp; BikeWale","https://news.google.com/rss/articles/CBMijgFBVV95cUxPSmFfTjc3aEtYVnloZUt3UHFZR0t5ejkzZWxTNFRQb0dxYXIzaTBKQnhvRWxHWXdYLTh6ZEZtdmwyUTVxUjB1WUREOUpSZU1WUzlwUmg2ejh4dUM3VkYxR2QxdWNXaXU3Zlc4NFh4NTRQcUMxS2txMkw2dlB3YXQwWXViWlVSQzdlTDVHd3FB?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","BikeWale｜Fri, 28 Aug 2026 12:22:16 GMT｜Ola S1Z Electric Scooter Launched Starting at Rs. 79,999 - BikeWale｜https://news.google.com/rss/articles/CBMijgFBVV95cUxPSmFfTjc3aEtYVnloZUt3UHFZR0t5ejkzZWxTNFRQb0dxYXIzaTBKQnhvRWxHWXdYLTh6ZEZtdmwyUTVxUjB1WUREOUpSZU1WUzlwUmg2ejh4dUM3VkYxR2QxdWNXaXU3Zlc4NFh4NTRQcUMxS2txMkw2dlB3YXQwWXViWlVSQzdlTDVHd3FB?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-004","2026-08-29","Fri, 28 Aug 2026 12:01:00 GMT","品牌新品","normal","全球","autoX","Ather Konarc Electric Scooter to Launch Tomorrow; Here's Everything You Must Know - autoX","","","Ather Konarc Electric Scooter to Launch Tomorrow; Here's Everything You Must Know &nbsp;&nbsp; autoX","https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbDQ5MUtiazJiX0VtV1ZONXJxMjNOYW5NNDlteXo3alIyNlBXMUJqaEZ0UUh4WmFrUnJyOXdJV3p5UFkwaTROSDBqaWtGSkZ2Z0ZVVXVIamhLTEV4QjRVVjBxTm5xOHpza0JmT2NxdkIzTnAzN1R4NF9QdERYc3AtZ2JPS1Rmd2ZobDY4ZXdfeXF4cUVwTE5XTFdrQUFmMTFrX1NqX3BjVjRPS0pYREktLURveHYtemc0ampIaUZIaVl0Zw?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","autoX｜Fri, 28 Aug 2026 12:01:00 GMT｜Ather Konarc Electric Scooter to Launch Tomorrow; Here's Everything You Must Know - autoX｜https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbDQ5MUtiazJiX0VtV1ZONXJxMjNOYW5NNDlteXo3alIyNlBXMUJqaEZ0UUh4WmFrUnJyOXdJV3p5UFkwaTROSDBqaWtGSkZ2Z0ZVVXVIamhLTEV4QjRVVjBxTm5xOHpza0JmT2NxdkIzTnAzN1R4NF9QdERYc3AtZ2JPS1Rmd2ZobDY4ZXdfeXF4cUVwTE5XTFdrQUFmMTFrX1NqX3BjVjRPS0pYREktLURveHYtemc0ampIaUZIaVl0Zw?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-005","2026-08-29","Fri, 28 Aug 2026 09:01:32 GMT","品牌新品","normal","全球","Business Standard","Ola Electric share price surges 6% after new S1Z electric scooter launch - Business Standard","","","Ola Electric share price surges 6% after new S1Z electric scooter launch &nbsp;&nbsp; Business Standard","https://news.google.com/rss/articles/CBMi1AFBVV95cUxNdEdwNlRNdHNqRG1FN0N0aUhCNXlEal9IRGkyUVRnTFBDNE9LQVBUZEJHbV9WTzhpSGlISVNtd21OZG12RzBERnpvaF9FMUFXVndWX3JHOE9qbV94a2xQUXlhZC1kbElNOUU2dURGdDAwemVFR1pnRXQ0SlFnVGg4bDBNcTBSNkZmYlcya2lMcXJiRlJxblJfM3hvODZPb19oUjc3bVpubDVnYUhkQXlnOHFDY1J3U0hadERxUkx0M2JZb3dEMURKVk1VdVVPUElQcGh3aNIB2gFBVV95cUxPSkpDQi1Kc0xrTS16M05JRjNiR0ZQaDBGcnJsbElieklxSG1MSUs0aTlmSnBpNm82cUhoU0haazMtU2ViUkpLQXcwSDBXR2NuVEU3QjFkang3Rnh2TU1XQkQ1aFZKS0Z6Q2YwRVFyaG1rWFNRajJhRDliY29EekpPZ0tyNF9UNEhlajZtcXVha0dxU3BqNzB4dnRIdjlscGlSU0dhX1dJYU96YWticGhCbkVEbjBEQ1ExblBpYnhaWXh1Qnd2MVdFRkpHMnR6bXk3M0JVM3pVcHBtZw?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Business Standard｜Fri, 28 Aug 2026 09:01:32 GMT｜Ola Electric share price surges 6% after new S1Z electric scooter launch - Business Standard｜https://news.google.com/rss/articles/CBMi1AFBVV95cUxNdEdwNlRNdHNqRG1FN0N0aUhCNXlEal9IRGkyUVRnTFBDNE9LQVBUZEJHbV9WTzhpSGlISVNtd21OZG12RzBERnpvaF9FMUFXVndWX3JHOE9qbV94a2xQUXlhZC1kbElNOUU2dURGdDAwemVFR1pnRXQ0SlFnVGg4bDBNcTBSNkZmYlcya2lMcXJiRlJxblJfM3hvODZPb19oUjc3bVpubDVnYUhkQXlnOHFDY1J3U0hadERxUkx0M2JZb3dEMURKVk1VdVVPUElQcGh3aNIB2gFBVV95cUxPSkpDQi1Kc0xrTS16M05JRjNiR0ZQaDBGcnJsbElieklxSG1MSUs0aTlmSnBpNm82cUhoU0haazMtU2ViUkpLQXcwSDBXR2NuVEU3QjFkang3Rnh2TU1XQkQ1aFZKS0Z6Q2YwRVFyaG1rWFNRajJhRDliY29EekpPZ0tyNF9UNEhlajZtcXVha0dxU3BqNzB4dnRIdjlscGlSU0dhX1dJYU96YWticGhCbkVEbjBEQ1ExblBpYnhaWXh1Qnd2MVdFRkpHMnR6bXk3M0JVM3pVcHBtZw?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-006","2026-08-29","Sat, 29 Aug 2026 02:17:00 GMT","法規更新","high","全球","ABC10","New e-bike law requires California training program by 2028 - ABC10","","","New e-bike law requires California training program by 2028 &nbsp;&nbsp; ABC10","https://news.google.com/rss/articles/CBMihgJBVV95cUxOWDlKRkxCblBLcFFjM2NNR2FqNVJOZG9UUHN0MXBLeDZyRjAySWR2VUhnTVRZTW9zem1ITTFyTTZ3Wml0SkNXZkVhNlgzdkM3RXN1SGFkQ2YxZEg4V3VLSzJlNWxrMTlhalNlWVI5SXhKdnc0N203SVJDbURfUnpyVmxfNU5nXzkyYVR0eGo5RjQ5Z25EV1pUdWloMUJ3YXRYeklVaElQbEVLNlF3emRLTDY2d2I3azZCMHQtaDQzTDE3Z1JWMmZGSHZpOWFvZFQ2V245LXJhbEZPUUNXUkRwZEtKUTVrT1N6aDNoOXJwbnFXTkdTMHgzdUhBbHNEdEdMY2tYd09R?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","ABC10｜Sat, 29 Aug 2026 02:17:00 GMT｜New e-bike law requires California training program by 2028 - ABC10｜https://news.google.com/rss/articles/CBMihgJBVV95cUxOWDlKRkxCblBLcFFjM2NNR2FqNVJOZG9UUHN0MXBLeDZyRjAySWR2VUhnTVRZTW9zem1ITTFyTTZ3Wml0SkNXZkVhNlgzdkM3RXN1SGFkQ2YxZEg4V3VLSzJlNWxrMTlhalNlWVI5SXhKdnc0N203SVJDbURfUnpyVmxfNU5nXzkyYVR0eGo5RjQ5Z25EV1pUdWloMUJ3YXRYeklVaElQbEVLNlF3emRLTDY2d2I3azZCMHQtaDQzTDE3Z1JWMmZGSHZpOWFvZFQ2V245LXJhbEZPUUNXUkRwZEtKUTVrT1N6aDNoOXJwbnFXTkdTMHgzdUhBbHNEdEdMY2tYd09R?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-007","2026-08-29","Fri, 28 Aug 2026 19:34:31 GMT","法規更新","high","全球","NBC Chicago","New e-bike rules could lead to fees and fines, delays in getting a license - NBC Chicago","","","New e-bike rules could lead to fees and fines, delays in getting a license &nbsp;&nbsp; NBC Chicago","https://news.google.com/rss/articles/CBMi6wFBVV95cUxNX3FzZlhSbUR4NVdZQUxIQlo1d1pJMXRzNFpzRkx2VzQxZFAtY1RCMTljcjhTTUNpdTlBTVBfU2dYb1FWR2RMbGtNRC1KUV9fOVl1bVMwWEU4NE5QZHNTNW54NmVJVmxjbTlTZVFMdTIyTDhGM1ZvTUkxa2tseGZzTWNkcWVENHlXM3RWY0NmbE10dmlqYVRHTjExYV9xWHhkdjJ1LTJQN1Y4YUJnYTJ5ekNUZTFLeEdHWG9zWHJ0b0xTMVdDaS1XdHlyUmtQZnYxUXZHQmlRdXJMZzFsT1h2amhzdTJ4NDF6T0NJ0gHzAUFVX3lxTE9uX2phMlJUUS1VcnJrajZPelFEbnI3OEdwYUJvTDFseTcwc0kxbUxaLTRUeDQ2RHpoWlNodmxldmdWajR3M2F0R3A1V3lDczhTSS1sQmxUbndONl9ldWxlRTQ0NVZKVEpWVC1wT1NHSlZJZEVnSUJtVVdRd0F4MlF5MHcyYVZaUlIwSUpmTEtab19qOTQ5NkFaQ1NXZHpRZC1CU1hfOUQwVEF0VWIySjF5VVJudFo5RmwyTHZTVHJHeHRyNnRQQWQxWkRwZnpYLTcwUmg2NlFOVUhZUUF2azNSZnRoZjd6Smc1SHVPQUptam9lVQ?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","NBC Chicago｜Fri, 28 Aug 2026 19:34:31 GMT｜New e-bike rules could lead to fees and fines, delays in getting a license - NBC Chicago｜https://news.google.com/rss/articles/CBMi6wFBVV95cUxNX3FzZlhSbUR4NVdZQUxIQlo1d1pJMXRzNFpzRkx2VzQxZFAtY1RCMTljcjhTTUNpdTlBTVBfU2dYb1FWR2RMbGtNRC1KUV9fOVl1bVMwWEU4NE5QZHNTNW54NmVJVmxjbTlTZVFMdTIyTDhGM1ZvTUkxa2tseGZzTWNkcWVENHlXM3RWY0NmbE10dmlqYVRHTjExYV9xWHhkdjJ1LTJQN1Y4YUJnYTJ5ekNUZTFLeEdHWG9zWHJ0b0xTMVdDaS1XdHlyUmtQZnYxUXZHQmlRdXJMZzFsT1h2amhzdTJ4NDF6T0NJ0gHzAUFVX3lxTE9uX2phMlJUUS1VcnJrajZPelFEbnI3OEdwYUJvTDFseTcwc0kxbUxaLTRUeDQ2RHpoWlNodmxldmdWajR3M2F0R3A1V3lDczhTSS1sQmxUbndONl9ldWxlRTQ0NVZKVEpWVC1wT1NHSlZJZEVnSUJtVVdRd0F4MlF5MHcyYVZaUlIwSUpmTEtab19qOTQ5NkFaQ1NXZHpRZC1CU1hfOUQwVEF0VWIySjF5VVJudFo5RmwyTHZTVHJHeHRyNnRQQWQxWkRwZnpYLTcwUmg2NlFOVUhZUUF2azNSZnRoZjd6Smc1SHVPQUptam9lVQ?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-008","2026-08-29","Fri, 28 Aug 2026 16:33:45 GMT","法規更新","high","全球","Alton Telegraph","Illinois e-bike rules take effect Jan. 1 with age limits - Alton Telegraph","","","Illinois e-bike rules take effect Jan. 1 with age limits &nbsp;&nbsp; Alton Telegraph","https://news.google.com/rss/articles/CBMijAFBVV95cUxON3pDenF4U0xCR1JsM1VNa2VyZWdXWFRCREY0M0o0YWxUZkZxSHhMM2ZzYUVHSHoyVFV6NTRkdi1Ma0NaVmtCVzNKc2U5SEhLemR4cHBBNHlyM1RxVHJOd1ZsaHF2aW1mbUoyMnpwM24yZE95ckJrblFENWVhcDloeFptSkFzd0dtVzZHeA?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","Alton Telegraph｜Fri, 28 Aug 2026 16:33:45 GMT｜Illinois e-bike rules take effect Jan. 1 with age limits - Alton Telegraph｜https://news.google.com/rss/articles/CBMijAFBVV95cUxON3pDenF4U0xCR1JsM1VNa2VyZWdXWFRCREY0M0o0YWxUZkZxSHhMM2ZzYUVHSHoyVFV6NTRkdi1Ma0NaVmtCVzNKc2U5SEhLemR4cHBBNHlyM1RxVHJOd1ZsaHF2aW1mbUoyMnpwM24yZE95ckJrblFENWVhcDloeFptSkFzd0dtVzZHeA?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-009","2026-08-29","Fri, 28 Aug 2026 05:10:55 GMT","安全召回","high","全球","BBC","18 deaths from battery fires show hidden danger of UK's e-bike boom - BBC","","","18 deaths from battery fires show hidden danger of UK's e-bike boom &nbsp;&nbsp; BBC","https://news.google.com/rss/articles/CBMiXEFVX3lxTFBXalBuajdLSldoTDRHOVhwN1NUbk1Pc2JJazI4WUtsckNfRVRuWjlFa3Y4SjRUVy11WkR3ZmZoT25SSzY3eXd0dlJEVUYtOFpVbVZYVzZqZTN3ZWNs?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","BBC｜Fri, 28 Aug 2026 05:10:55 GMT｜18 deaths from battery fires show hidden danger of UK's e-bike boom - BBC｜https://news.google.com/rss/articles/CBMiXEFVX3lxTFBXalBuajdLSldoTDRHOVhwN1NUbk1Pc2JJazI4WUtsckNfRVRuWjlFa3Y4SjRUVy11WkR3ZmZoT25SSzY3eXd0dlJEVUYtOFpVbVZYVzZqZTN3ZWNs?oc=5｜擷取日 2026-08-29","公開來源每日更新"
"2026-08-29-010","2026-08-29","Sat, 29 Aug 2026 00:30:00 GMT","產業趨勢","normal","全球","The Economic Times","Ather expects mass-market Konark e-scooter to deliver higher margins than Rizta within a year: CEO Tarun M - The Economic Times","","","Ather expects mass-market Konark e-scooter to deliver higher margins than Rizta within a year: CEO Tarun M &nbsp;&nbsp; The Economic Times","https://news.google.com/rss/articles/CBMiiwJBVV95cUxQdnJkZEtpNW9TMGJ0S2lOWmJxU2IwUDBsZ3B5SEx6Rl9UelI1NG5yQjV5a3lVNzU5QUNOckd6ZzZmalAzNWwxajJ3MDJHMHlQenphbWxrWnRKeWFhR2Z5bDVpWGc3bEhLUnF1V1lWUTZ0eG12ejh2ZEpzNmtLWXk2dnk0X19INXBFWmllTEwxSXc2ZVlHTENJQU54ZzVhRWZCa1FxOGtJTXp4bVp0MjJsR2w2Ylh1aVNQTWdHbzRsMnRGb2R1RUNfRnpKRlFPbUxzZVJHc0VwZGVvRURzUnItUUpEbUVFNk1yUlVGTFBZZDBLSzFwMWpWQ0tqQW15dXBiZTdOeW01dkhnN2vSAZACQVVfeXFMT0FNYzZ2aHp2WUR3Q0htR0tRMUx6dnNEM3J4dnd3SW1WZTRaNjl1b2lUYlhYdmNmdUZJano4bXdmVmFDZTNYMy0xYVB2Qm42TjNwQWZkVE1KQlpEeWhfaGJTbDRCQkM0bHRpM2J1N25tLVg5WlgtZ19OUDZKOWktOUlrakFzYzR6Ukk2a1hqWGFjTEVKN0FZZnJKWVRYVzVQVjNBYjRkSTJUQ2xuY2cwYUtjZUUyLWRPcmVRNkZOYjIwZkRNWlNmYnotZVF0RFIxanA5UWtkVkc0M0Q0V1ZBcGt6ZlA2VHJ5STdfMkR2azFsNEJwMmxYNlQ0LXVlQ2JDSVg0YjBWV0FpaVNBTVc0NGg?oc=5","https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300","The Economic Times｜Sat, 29 Aug 2026 00:30:00 GMT｜Ather expects mass-market Konark e-scooter to deliver higher margins than Rizta within a year: CEO Tarun M - The Economic Times｜https://news.google.com/rss/articles/CBMiiwJBVV95cUxQdnJkZEtpNW9TMGJ0S2lOWmJxU2IwUDBsZ3B5SEx6Rl9UelI1NG5yQjV5a3lVNzU5QUNOckd6ZzZmalAzNWwxajJ3MDJHMHlQenphbWxrWnRKeWFhR2Z5bDVpWGc3bEhLUnF1V1lWUTZ0eG12ejh2ZEpzNmtLWXk2dnk0X19INXBFWmllTEwxSXc2ZVlHTENJQU54ZzVhRWZCa1FxOGtJTXp4bVp0MjJsR2w2Ylh1aVNQTWdHbzRsMnRGb2R1RUNfRnpKRlFPbUxzZVJHc0VwZGVvRURzUnItUUpEbUVFNk1yUlVGTFBZZDBLSzFwMWpWQ0tqQW15dXBiZTdOeW01dkhnN2vSAZACQVVfeXFMT0FNYzZ2aHp2WUR3Q0htR0tRMUx6dnNEM3J4dnd3SW1WZTRaNjl1b2lUYlhYdmNmdUZJano4bXdmVmFDZTNYMy0xYVB2Qm42TjNwQWZkVE1KQlpEeWhfaGJTbDRCQkM0bHRpM2J1N25tLVg5WlgtZ19OUDZKOWktOUlrakFzYzR6Ukk2a1hqWGFjTEVKN0FZZnJKWVRYVzVQVjNBYjRkSTJUQ2xuY2cwYUtjZUUyLWRPcmVRNkZOYjIwZkRNWlNmYnotZVF0RFIxanA5UWtkVkc0M0Q0V1ZBcGt6ZlA2VHJ5STdfMkR2azFsNEJwMmxYNlQ0LXVlQ2JDSVg0YjBWV0FpaVNBTVc0NGg?oc=5｜擷取日 2026-08-29","公開來源每日更新"
